#           Time            Rate           Error
       0.0000000       107.52597       10.369473
       1.0000000       106.76100       10.332521
       2.0000000       108.20266       10.402051
       3.0000000       106.37556       10.313853
       4.0000000       108.89910       10.435473
       5.0000000       104.07228       10.201582
       6.0000000       107.37727       10.362300
       7.0000000       103.05415       10.151559
       8.0000000       102.46435       10.122468
       9.0000000       105.08730       10.251210
       10.000000       101.16567       10.058114
       11.000000       99.176997       9.9587648
       12.000000       96.522360       9.8245794
       13.000000       96.532465       9.8250936
       14.000000       93.707969       9.6802876
       15.000000       92.977359       9.6424768
       16.000000       93.228394       9.6554852
       17.000000       94.209110       9.7061378
       18.000000       92.959777       9.6415651
       19.000000       93.595265       9.6744646
       20.000000       91.203844       9.5500703
       21.000000       91.882425       9.5855321
       22.000000       89.097740       9.4391599
       23.000000       88.053168       9.3836650
       24.000000       87.696307       9.3646307
       25.000000       84.527923       9.1939068
       26.000000       88.226274       9.3928842
       27.000000       89.126631       9.4406902
       28.000000       86.547930       9.3031140
       29.000000       85.898374       9.2681376
       30.000000       82.528024       9.0844936
       31.000000       79.615423       8.9227475
       32.000000       82.285328       9.0711261
       33.000000       83.449623       9.1350765
       34.000000       82.327937       9.0734744
       35.000000       80.356030       8.9641525
       36.000000       80.050024       8.9470679
       37.000000       77.157318       8.7839238
       38.000000       76.142232       8.7259516
       39.000000       78.894098       8.8822350
       40.000000       75.847586       8.7090520
       41.000000       77.838467       8.8226111
       42.000000       77.193686       8.7859937
       43.000000       76.008048       8.7182595
       44.000000       78.280747       8.8476408
       45.000000       73.921755       8.5977762
       46.000000       71.453468       8.4530153
       47.000000       69.763821       8.3524740
       48.000000       75.006296       8.6606175
       49.000000       72.322932       8.5042890
       50.000000       70.290917       8.3839678
       51.000000       68.351187       8.2674777
       52.000000       71.803937       8.4737203
       53.000000       72.409724       8.5093904
       54.000000       63.885517       7.9928416
       55.000000       65.867176       8.1158595
       56.000000       66.476874       8.1533352
       57.000000       62.838069       7.9270467
       58.000000       65.610585       8.1000361
       59.000000       65.607114       8.0998219
       60.000000       63.854617       7.9909084
       61.000000       64.453863       8.0283163
       62.000000       62.193772       7.8863028
       63.000000       61.343205       7.8321903
       64.000000       66.007265       8.1244855
       65.000000       61.524980       7.8437860
       66.000000       61.124243       7.8181994
       67.000000       59.592996       7.7196500
       68.000000       61.265009       7.8271967
       69.000000       60.854677       7.8009408
       70.000000       58.099117       7.6222776
       71.000000       61.809500       7.8619018
       72.000000       55.197710       7.4295161
       73.000000       56.659121       7.5272253
       74.000000       56.732425       7.5320930
       75.000000       57.173745       7.5613322
       76.000000       54.710303       7.3966413
       77.000000       55.350194       7.4397711
       78.000000       55.301210       7.4364784
       79.000000       59.932507       7.7416088
       80.000000       52.311940       7.2326994
       81.000000       56.157259       7.4938147
       82.000000       54.909384       7.4100866
       83.000000       51.700231       7.1902873
       84.000000       54.461501       7.3798036
       85.000000       56.548694       7.5198865
       86.000000       51.292559       7.1618823
       87.000000       49.119243       7.0085122
       88.000000       51.295684       7.1621006
       89.000000       50.611873       7.1142022
       90.000000       49.717407       7.0510572
       91.000000       48.795684       6.9853908
       92.000000       49.884318       7.0628831
       93.000000       48.983221       6.9988014
       94.000000       52.378191       7.2372779
       95.000000       49.900656       7.0640397
       96.000000       49.378711       7.0269987
       97.000000       50.169389       7.0830353
       98.000000       47.157835       6.8671562
       99.000000       46.723929       6.8354904
       100.00000       47.582175       6.8979834
       101.00000       48.972030       6.9980019
       102.00000       46.584872       6.8253111
       103.00000       46.867606       6.8459919
       104.00000       44.476697       6.6690852
       105.00000       43.517835       6.5968049
       106.00000       47.278684       6.8759496
       107.00000       44.334858       6.6584426
       108.00000       46.334188       6.8069221
       109.00000       46.117202       6.7909648
       110.00000       43.802111       6.6183163
       111.00000       44.549920       6.6745726
       112.00000       46.437898       6.8145358
       113.00000       39.378899       6.2752608
       114.00000       43.806830       6.6186729
       115.00000       39.031887       6.2475505
       116.00000       40.104683       6.3328258
       117.00000       39.705958       6.3012664
       118.00000       42.171403       6.4939513
       119.00000       41.531594       6.4445010
       120.00000       41.601687       6.4499370
       121.00000       36.036878       6.0030724
       122.00000       41.909944       6.4737890
       123.00000       41.866717       6.4704495
       124.00000       37.729719       6.1424522
       125.00000       40.640258       6.3749712
       126.00000       36.511497       6.0424744
